"noteWavNames";"notenames";"expected";"expected_notenames";"date";"rownum";"session"
-38;"G,";-14;"g";"2017-09-24";"2";22
-16;"f";-14;"g";"2017-09-24";"3";22
-14;"g";-12;"a";"2017-09-24";"4";22
-12;"a";-12;"a";"2017-09-24";"5";22
-12;"a";-10;"b";"2017-09-24";"6";22
-10;"b";-10;"b";"2017-09-24";"7";22
-10;"b";-9;"c'";"2017-09-24";"8";22
-10;"b";-9;"c'";"2017-09-24";"9";22
-9;"c'";-9;"c'";"2017-09-24";"10";22
-9;"c'";-7;"d'";"2017-09-24";"11";22
-7;"d'";-7;"d'";"2017-09-24";"12";22
-7;"d'";-7;"d'";"2017-09-24";"13";22
-7;"d'";-5;"e'";"2017-09-24";"14";22
-5;"e'";-5;"e'";"2017-09-24";"15";22
-5;"e'";-5;"e'";"2017-09-24";"16";22
-3;"f#'";-3;"f#'";"2017-09-24";"17";22
-3;"f#'";-3;"f#'";"2017-09-24";"18";22
-2;"g'";-3;"f#'";"2017-09-24";"19";22
-2;"g'";-2;"g'";"2017-09-24";"20";22
-37;"G#,";-2;"g'";"2017-09-24";"21";22
-14;"g";-14;"g";"2017-09-24";"1";23
-14;"g";-14;"g";"2017-09-24";"2";23
-14;"g";-14;"g";"2017-09-24";"3";23
0;"a'";-12;"a";"2017-09-24";"4";23
0;"a'";-12;"a";"2017-09-24";"5";23
-10;"b";-10;"b";"2017-09-24";"6";23
-10;"b";-10;"b";"2017-09-24";"7";23
-9;"c'";-9;"c'";"2017-09-24";"8";23
-9;"c'";-9;"c'";"2017-09-24";"9";23
-9;"c'";-9;"c'";"2017-09-24";"10";23
-7;"d'";-7;"d'";"2017-09-24";"11";23
-7;"d'";-7;"d'";"2017-09-24";"12";23
-5;"e'";-7;"d'";"2017-09-24";"13";23
-5;"e'";-5;"e'";"2017-09-24";"14";23
-5;"e'";-5;"e'";"2017-09-24";"15";23
-3;"f#'";-5;"e'";"2017-09-24";"16";23
-3;"f#'";-3;"f#'";"2017-09-24";"17";23
-2;"g'";-3;"f#'";"2017-09-24";"18";23
-2;"g'";-3;"f#'";"2017-09-24";"19";23
-2;"g'";-2;"g'";"2017-09-24";"20";23
-2;"g'";-2;"g'";"2017-09-24";"21";23
-38;"G,";-14;"g";"2017-09-24";"1";24
-7;"d'";-14;"g";"2017-09-24";"2";24
-7;"d'";-14;"g";"2017-09-24";"3";24
-13;"g#";-12;"a";"2017-09-24";"4";24
-12;"a";-12;"a";"2017-09-24";"5";24
-12;"a";-10;"b";"2017-09-24";"6";24
-10;"b";-10;"b";"2017-09-24";"7";24
-10;"b";-9;"c'";"2017-09-24";"8";24
-9;"c'";-9;"c'";"2017-09-24";"9";24
-9;"c'";-9;"c'";"2017-09-24";"10";24
-9;"c'";-7;"d'";"2017-09-24";"11";24
-7;"d'";-7;"d'";"2017-09-24";"12";24
-7;"d'";-7;"d'";"2017-09-24";"13";24
-5;"e'";-5;"e'";"2017-09-24";"14";24
-5;"e'";-5;"e'";"2017-09-24";"15";24
-3;"f#'";-5;"e'";"2017-09-24";"16";24
-3;"f#'";-3;"f#'";"2017-09-24";"17";24
-3;"f#'";-3;"f#'";"2017-09-24";"18";24
-2;"g'";-3;"f#'";"2017-09-24";"19";24
-2;"g'";-2;"g'";"2017-09-24";"20";24
